Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel Type,Video Views Rank,Country Rank,Channel Type Rank,Video Views For The Last 30 Days,Lowest Monthly Earnings,Highest Monthly Earnings,Lowest Yearly Earnings,Highest Yearly Earnings,Subscribers For Last 30 Days,Created Year,Created Month,Created Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban Population,Latitude,Longitude
T-Series,245000000,228000000000,Music,T-Series,20082,India,IN,Music,1,1,1,2258000000,564600.0,9000000.0,6800000.0,108400000.0,2000000,2006,Mar,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
MrBeast,166000000,28368841870,Entertainment,MrBeast,741,United States,US,Entertainment,48,1,1,1348000000,337000.0,5400000.0,4000000.0,64700000.0,8000000,2012,Feb,20.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Cocomelon - Nursery Rhymes,162000000,164000000000,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,2,1,1975000000,493800.0,7900000.0,5900000.0,94800000.0,1000000,2006,Sep,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
SET India,159000000,148000000000,Shows,SET India,116536,India,IN,Entertainment,3,2,2,1824000000,455900.0,7300000.0,5500000.0,87500000.0,1000000,2006,Sep,20.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Kids Diana Show,112000000,93247040539,People & Blogs, Kids Diana Show,1111,United States,US,Entertainment,5,3,3,731674000,182900.0,2900000.0,2200000.0,35100000.0,0,2015,May,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
PewDiePie,111000000,29058044447,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44,1,4,39184000,9800.0,156700.0,117600.0,1900000.0,0,2010,Apr,29.0,63.2,126226568,2.29,115782416,36.204824,138.252924
Like Nastya,106000000,90479060027,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5,25,48947000,12200.0,195800.0,146800.0,2300000.0,100000,2016,Jan,14.0,81.9,144373535,4.59,107683889,61.52401,105.318756
Vlad and Niki,98900000,77180169894,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8,5,6,580574000,145100.0,2300000.0,1700000.0,27900000.0,600000,2018,Apr,23.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Zee Music Company,96700000,57856289381,Music,Zee Music Company,8548,India,IN,Music,12,3,2,803613000,200900.0,3200000.0,2400000.0,38600000.0,1100000,2014,Mar,12.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
WWE,96000000,77428473662,Sports,WWE,70127,United States,US,Sports,7,6,1,714614000,178700.0,2900000.0,2100000.0,34300000.0,600000,2007,May,11.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
BLACKPINK,89800000,32144597566,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32,1,3,498930000,124700.0,2000000.0,1500000.0,23900000.0,700000,2016,Jun,29.0,94.3,51709098,4.15,42106719,35.907757,127.766922
Goldmines,86900000,24118230580,Film & Animation,goldmines,1,Unknown,Unknown,Music,4056562,0,5663,18,0.0,0.07,0.05,0.86,0,2006,Aug,15.0,0.0,0,0.0,0,,
Sony SAB,83000000,101000000000,Shows,Sony SAB,71270,India,IN,Entertainment,4,5,7,1657000000,414300.0,6600000.0,5000000.0,79600000.0,1100000,2007,Aug,4.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
5-Minute Crafts,80100000,26236790209,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901,4797,6781,1,0.0,0.0,0.0,0.05,0,2020,Jul,27.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
BANGTANTV,75600000,20826993957,Music,BANGTANTV,2281,South Korea,KR,Music,112,2,4,168290000,42100.0,673200.0,504900.0,8100000.0,400000,2012,Dec,17.0,94.3,51709098,4.15,42106719,35.907757,127.766922
Justin Bieber,71600000,30608119724,Music,Justin Bieber,249,Canada,CA,Music,38,1,6,176326000,44100.0,705300.0,529000.0,8500000.0,100000,2007,Jan,15.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
HYBE LABELS,71300000,28634566938,Music,HYBE LABELS,1337,South Korea,KR,Music,46,3,5,598173000,149500.0,2400000.0,1800000.0,28700000.0,900000,2008,Jun,4.0,94.3,51709098,4.15,42106719,35.907757,127.766922
Zee TV,70500000,73139054467,Entertainment,Zee TV,129204,India,IN,Entertainment,9,6,8,1707000000,426800.0,6800000.0,5100000.0,81900000.0,900000,2005,Dec,11.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,US,Education,23,8,2,473387000,118300.0,1900000.0,1400000.0,22700000.0,600000,2011,Dec,14.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Canal KondZilla,66500000,36775585925,Music,Canal KondZilla,2572,Brazil,BR,Music,25,1,7,447223000,0.0,0.0,0.0,0.0,0,2012,Mar,21.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18,7,3,420292000,105100.0,1700000.0,1300000.0,20200000.0,500000,2013,Feb,9.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Shemaroo Filmi Gaane,65600000,28648024439,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47,8,8,254961000,63700.0,1000000.0,764900.0,12200000.0,400000,2010,Jun,11.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Colors TV,64600000,61510906457,Shows,Colors TV,112915,India,IN,Entertainment,10,9,9,1188000000,296900.0,4800000.0,3600000.0,57000000.0,1100000,2008,Jun,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
T-Series Bhakti Sagar,61000000,29533230328,Music,T- SERIES BHAKTI SAGAR,13,India,IN,Music,4053938,5803,5744,10,0.0,0.04,0.03,0.48,0,2018,Aug,3.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Dude Perfect,59500000,16241549158,Sports,Dude Perfect,389,United States,US,Sports,182,9,3,141200000,35300.0,564800.0,423600.0,6800000.0,100000,2009,Mar,17.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Movieclips,59500000,59316472754,Film & Animation,Movieclips,39113,United States,US,Film,11,9,3,114668000,28700.0,458700.0,344000.0,5500000.0,100000,2006,Apr,28.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Tips Official,59300000,33431802698,Music,Tips Official,4741,India,IN,Music,30,11,10,422634000,105700.0,1700000.0,1300000.0,20300000.0,600000,2007,May,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
El Reino Infantil,58400000,57271630846,Music,El Reino Infantil,1510,Argentina,AR,Music,13,1,11,611828000,153000.0,2400000.0,1800000.0,29400000.0,600000,2011,Jun,2.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
Wave Music,58000000,40602020243,Music,Wave Music,19487,India,IN,Music,21,12,12,232025000,58000.0,928100.0,696100.0,11100000.0,500000,2014,Oct,29.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Aaj Tak,57600000,25307753534,News & Politics,Aaj Tak,283775,India,IN,News,71,13,1,461148000,115300.0,1800000.0,1400000.0,22100000.0,500000,2009,Aug,27.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Sony Music India,57200000,28837144516,Music,Sony Music India,3882,India,IN,Music,45,14,13,259310000,64800.0,1000000.0,777900.0,12400000.0,300000,2009,Sep,2.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
EminemMusic,56900000,27073872856,Music,EminemMusic,156,United States,US,Music,59,10,14,260193000,65000.0,1000000.0,780600.0,12500000.0,300000,2007,Feb,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Marshmello,56400000,14696003229,Entertainment,Marshmello,436,United States,US,Music,233,11,15,112100000,28000.0,448400.0,336300.0,5400000.0,100000,2015,Apr,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
YRF,54600000,35302243691,Film & Animation,YRF,3707,India,IN,Music,28,15,16,512093000,128000.0,2000000.0,1500000.0,24600000.0,500000,2006,Jun,7.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239,Music,LooLoo Kids - Nursery Rhymes and Children's ,11,Unknown,Unknown,Unknown,3800129,0,0,159,0.04,0.64,0.48,8.0,0,2016,Nov,29.0,0.0,0,0.0,0,,
Ed Sheeran,53500000,30367676736,Music,Ed Sheeran,383,United Kingdom,GB,Music,39,1,18,202720000,50700.0,810900.0,608200.0,9700000.0,100000,2006,Aug,8.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Infobells - Hindi,53300000,30516172739,Education,Infobells - Hindi,577,India,IN,Education,37,16,4,815949000,204000.0,3300000.0,2400000.0,39200000.0,1600000,2014,Jun,6.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Taylor Swift,52900000,29884657286,Music,Taylor Swift,216,United States,US,Music,40,13,19,528392000,132100.0,2100000.0,1600000.0,25400000.0,800000,2006,Sep,20.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Ariana Grande,52700000,24004842608,Music,Ariana Grande,147,United States,US,Music,78,14,20,160216000,40100.0,640900.0,480600.0,7700000.0,100000,2007,Jan,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,BillionSurpriseToys  - Nursery Rhymes & Cart,847,United States,US,Education,450,15,5,266747000,66700.0,1100000.0,800200.0,12800000.0,600000,2013,Oct,25.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
JuegaGerman,48100000,14631710289,Gaming,JuegaGerman,2052,Chile,CL,Games,237,1,2,66388000,16600.0,265600.0,199200.0,3200000.0,200000,2013,May,19.0,88.5,18952038,7.09,16610135,-35.675147,-71.542969
Billie Eilish,47900000,13626331061,Music,Billie Eilish,65,United States,US,Music,263,16,21,146862000,36700.0,587400.0,440600.0,7000000.0,200000,2013,Feb,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Get Movies,47500000,30788679536,Entertainment,Get Movies,3322,Russia,RU,Film,35,1,4,306540000,76600.0,1200000.0,919600.0,14700000.0,700000,2006,Dec,16.0,81.9,144373535,4.59,107683889,61.52401,105.318756
Shemaroo,47400000,22519705183,Entertainment,Shemaroo,11451,India,IN,Entertainment,97,17,10,232744000,58200.0,931000.0,698200.0,11200000.0,500000,2007,Sep,1.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Badabun,46800000,19398045702,Entertainment,badabun,1,Unknown,Unknown,Music,4047729,0,5525,440,0.11,2.0,1.0,21.0,75,2007,Jul,21.0,0.0,0,0.0,0,,
SonyMusicIndiaVEVO,46600000,27286058807,Music,SonyMusicIndiaVEVO,3444,United States,US,Music,55,17,22,314505000,78600.0,1300000.0,943500.0,15100000.0,400000,2009,Sep,2.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
A4,46300000,22936630813,Gaming,aefour,1,Cuba,CU,People,4053056,99,5359,94,0.02,0.38,0.28,5.0,10,2006,Mar,11.0,41.4,11333483,1.64,8739135,21.521757,-77.781167
Bad Bunny,46100000,30686342319,Music,badbunny,1,Unknown,Unknown,Sports,4046070,0,4501,1,0.0,0.0,0.0,0.05,0,2005,Nov,15.0,0.0,0,0.0,0,,
Fernanfloo,46100000,10323391593,Gaming,Fernanfloo,543,El Salvador,SV,Games,419,1,3,33842000,8500.0,135400.0,101500.0,1600000.0,200000,2011,May,2.0,29.4,6453553,4.11,4694702,13.794185,-88.89653
Voot Kids,45500000,21388725229,Entertainment,Voot Kids,4660,India,IN,Entertainment,105,18,13,233988000,58500.0,936000.0,702000.0,11200000.0,400000,2016,Nov,23.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Felipe Neto,45200000,16602198273,Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174,2,14,130359000,32600.0,521400.0,391100.0,6300000.0,200000,2006,May,16.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Voc,44700000,7828610828,Entertainment,Voc,1558,Brazil,BR,Entertainment,681,3,15,48032000,12000.0,192100.0,144100.0,2300000.0,100000,2013,Sep,1.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
HAR PAL GEO,44600000,41139050371,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20,1,15,1337000000,334300.0,5300000.0,4000000.0,64200000.0,1300000,2008,Jan,2.0,9.0,216565318,4.45,79927762,30.375321,69.345116
BRIGHT SIDE,44500000,10708531817,Howto & Style,brightside,0,Unknown,Unknown,Unknown,4057944,0,0,0,0.0,0.0,0.0,0.0,1,2005,Nov,18.0,0.0,0,0.0,0,,
Katy Perry,44200000,25458952022,Music,Katy Perry,128,United States,US,Music,70,19,24,134242000,33600.0,537000.0,402700.0,6400000.0,100000,2008,Jun,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
whinderssonnunes,44200000,4274709210,Comedy,whinderssonnunes,558,Brazil,BR,Comedy,1741,4,1,26683000,6700.0,106700.0,80100.0,1300000.0,0,2013,Jan,21.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
ABS-CBN Entertainment,44200000,50292540392,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16,1,16,176629000,44200.0,706500.0,529900.0,8500000.0,300000,2008,Jul,16.0,35.5,108116615,2.15,50975903,12.879721,121.774017
Alan Walker,43700000,12884264778,Music,alanwalker,8,Thailand,TH,Film,4056116,4026,5270,22,0.01,0.09,0.07,1.0,0,2006,May,12.0,49.3,69625582,0.75,35294600,15.870032,100.992541
HolaSoyGerman.,43600000,4831311245,Entertainment,holasoygerman. 2,6,Unknown,Unknown,People,4047806,0,7716,4,0.0,0.02,0.01,0.19,0,2016,May,27.0,0.0,0,0.0,0,,
Shakira,43500000,27568757295,People & Blogs,Shakira,326,Colombia,CO,Howto,52,1,3,353412000,88400.0,1400000.0,1100000.0,17000000.0,500000,2005,Oct,16.0,55.3,50339443,9.71,40827302,4.570868,-74.297333
ARY Digital HD,43200000,37939780685,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24,2,18,1149000000,287300.0,4600000.0,3400000.0,55200000.0,900000,2016,Jul,11.0,9.0,216565318,4.45,79927762,30.375321,69.345116
Speed Records,42500000,26820902622,Music,Speed Records,10938,India,IN,Music,62,19,26,159757000,39900.0,639000.0,479300.0,7700000.0,100000,2012,Nov,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Masha and The Bear,42400000,24519022988,Shows,Masha and The Bear,1218,United States,US,Film,74,20,5,670459000,167600.0,2700000.0,2000000.0,32200000.0,1000000,2014,Sep,17.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Like Nastya Show,42400000,19547696190,Entertainment,Like Nastya Show,618,United States,US,Entertainment,128,21,19,53202000,13300.0,212800.0,159600.0,2600000.0,0,2017,Nov,14.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Rihanna,41900000,22477745835,Entertainment,Rihanna,84,Barbados,BB,Music,98,1,27,182926000,45700.0,731700.0,548800.0,8800000.0,100000,2005,Nov,6.0,65.4,287025,10.33,89431,13.193887,-59.543198
Ishtar Music,41400000,17608931161,Trailers,Ishtar Music,4510,India,IN,Music,155,20,28,180942000,45200.0,723800.0,542800.0,8700000.0,400000,2005,Sep,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Kimberly Loaiza,41300000,5603111948,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157,2,1,136745000,34200.0,547000.0,410200.0,6600000.0,400000,2016,Nov,16.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,2423,United States,US,Education,22,22,7,98775000,24700.0,395100.0,296300.0,4700000.0,100000,2011,Jun,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Luisito Comunica,40600000,8670473639,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215,3021,0,0,0.0,0.0,0.0,0.0,0,2010,Jun,18.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
elrubiusOMG,40400000,7410536668,Gaming,elrubiusOMG,703,Unknown,Unknown,Entertainment,756,0,21,5773000,1400.0,23100.0,17300.0,277100.0,0,2011,Dec,20.0,0.0,0,0.0,0,,
Toys and Colors,40300000,47005053156,Entertainment,Toys and colors,4,Unknown,Unknown,People,3989650,0,7330,5,0.0,0.02,0.02,0.24,0,2018,Jun,14.0,0.0,0,0.0,0,,
shfa2 -,39700000,23884824160,People & Blogs,shfa2 - ,1596,United Arab Emirates,AE,People,81,1,2,247731000,61900.0,990900.0,743200.0,11900000.0,300000,2017,Nov,6.0,36.8,9770529,2.35,8479744,23.424076,53.847818
LUCCAS NETO - LUCCAS TOON,39400000,22302547082,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,Unknown,Unknown,Games,4057895,0,7498,2,0.0,0.01,0.01,0.1,0,2021,Mar,25.0,0.0,0,0.0,0,,
CarryMinati,39200000,3294013141,Comedy,CarryMinati,186,India,IN,Comedy,2487,21,2,78688000,19700.0,314800.0,236100.0,3800000.0,700000,2014,Oct,30.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
XXXTENTACION,39200000,10507474316,Music,XXXTENTACION,133,United States,US,Music,403,24,29,58362000,14600.0,233400.0,175100.0,2800000.0,100000,2015,Jun,23.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Super Simple Songs - Kids Songs,39200000,44900897958,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19,2,8,560756000,140200.0,2200000.0,1700000.0,26900000.0,400000,2006,Sep,8.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
Mikecrack,39100000,16118181673,Gaming,Mikecrack,1876,Spain,ES,Games,188,1,4,264108000,66000.0,1100000.0,792300.0,12700000.0,800000,2015,Jul,13.0,88.9,47076781,13.96,37927409,40.463667,-3.74922
WorkpointOfficial,39000000,36131228583,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27,1,24,130461000,32600.0,521800.0,391400.0,6300000.0,200000,2012,Nov,5.0,49.3,69625582,0.75,35294600,15.870032,100.992541
GR6 EXPLODE,38900000,25154232306,Music,GR6 EXPLODE,3043,Brazil,BR,Music,73,6,30,1635000000,408700.0,6500000.0,4900000.0,78500000.0,100000,2014,Aug,5.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
TEDx Talks,38600000,7339333120,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768,25,1,45638000,11400.0,182600.0,136900.0,2200000.0,100000,2009,Jun,23.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
shfa,38400000,21528116909,People & Blogs, ,982,Saudi Arabia,SA,Games,150882,774,1454,1589000,397.0,6400.0,4800.0,76300.0,2000,2018,May,24.0,68.0,34268528,5.93,28807838,23.885942,45.079162
Goldmines Gaane Sune Ansune,38300000,16718192386,Music,Goldmines Gaane Sune Ansune,3532,India,IN,Music,170,22,31,814756000,203700.0,3300000.0,2400000.0,39100000.0,400000,2015,Aug,24.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
One Direction,38200000,13598903820,Music,21 Savage,11,United States,US,Music,539848,2904,2594,6348,2.0,25.0,19.0,305.0,100,2016,Jun,26.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
TheEllenShow,38200000,22756581750,Entertainment,TheEllenShow,15672,United States,US,Entertainment,93,26,26,21804000,5500.0,87200.0,65400.0,1000000.0,0,2006,Nov,21.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Sony PAL,38200000,28519339489,Shows,Sony PAL,24089,India,IN,Entertainment,49,23,25,415914000,104000.0,1700000.0,1200000.0,20000000.0,500000,2014,May,9.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Daddy Yankee,38000000,22731415608,Music,Daddy Yankee,505,United States,US,Music,92,27,33,205594000,51400.0,822400.0,616800.0,9900000.0,100000,2011,May,16.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Vlad v,37900000,23510152352,Unknown,Vlad v,515,United States,US,Entertainment,84,28,27,244093000,61000.0,976400.0,732300.0,11700000.0,200000,2018,Jul,20.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Like Nastya ESP,37600000,18208196857,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145,29,28,321026000,80300.0,1300000.0,963100.0,15400000.0,700000,2017,Apr,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
one31,37500000,27262462114,Entertainment, one31,117152,Thailand,TH,Entertainment,56,2,29,140754000,35200.0,563000.0,422300.0,6800000.0,300000,2013,Jan,10.0,49.3,69625582,0.75,35294600,15.870032,100.992541
Jkk Entertainment,37200000,16402066717,Comedy,Jkk Entertainment,220,India,IN,Comedy,178,24,3,49861000,12500.0,199400.0,149600.0,2400000.0,100000,2017,Mar,20.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
ABP NEWS,37000000,13102611515,People & Blogs,ABP NEWS,301308,India,IN,News,280,25,2,267060000,66800.0,1100000.0,801200.0,12800000.0,400000,2012,Jun,1.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Maria Clara & JP,37000000,24188861917,People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75,7,30,251449000,62900.0,1000000.0,754300.0,12100000.0,300000,2015,Sep,6.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Bruno Mars,36700000,19378155425,Music,Bruno Mars,99,United States,US,Music,134,30,34,175243000,43800.0,701000.0,525700.0,8400000.0,200000,2006,Sep,19.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Maroon 5,36600000,22553923546,Music,Maroon 5,171,United States,US,Music,96,31,35,152825000,38200.0,611300.0,458500.0,7300000.0,0,2006,Mar,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Ultra Bollywood,36600000,15653786446,Trailers,Ultra Bollywood,9168,India,IN,Entertainment,205,26,31,131462000,0.0,0.0,0.0,0.0,200000,2009,Oct,21.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
PowerKids TV,36500000,18961241905,Film & Animation,PowerKids TV,5621,Unknown,Unknown,Film,139,1,6,318702000,79700.0,1300000.0,956100.0,15300000.0,600000,2014,Aug,6.0,0.0,0,0.0,0,,
YouTube,36300000,3010784935,News & Politics,YouTube,744,United States,US,Entertainment,2860,32,5,21103000,5300.0,84400.0,63300.0,1000000.0,300000,1970,Jan,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Ozuna,36200000,23355801606,Music,Ozuna,196,Unknown,Unknown,Music,87,2,36,169242000,42300.0,677000.0,507700.0,8100000.0,100000,2016,Mar,24.0,0.0,0,0.0,0,,
MrBeast Gaming,36100000,6331332547,Gaming,MrBeastGaming,5,Unknown,Unknown,Comedy,4057305,0,4880,32,0.01,0.13,0.1,2.0,1,2011,Feb,26.0,0.0,0,0.0,0,,
La Granja de Zen,35700000,27118354077,Music,La Granja de Zen,654,Argentina,AR,Music,58,2,37,302071000,75500.0,1200000.0,906200.0,14500000.0,400000,2013,Jun,6.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
Saregama Music,35500000,15657673422,Entertainment,Saregama Music,7566,India,IN,Music,199,27,38,533793000,133400.0,2100000.0,1600000.0,25600000.0,900000,2013,Jan,4.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
IndiaTV,35500000,16105023749,News & Politics,IndiaTV,273255,India,IN,News,185,27,3,290847000,72700.0,1200000.0,872500.0,14000000.0,600000,2006,Aug,26.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
T-Series Bollywood Classics,35400000,22637783517,Music,T-Series Bollywood Classics,2010,India,IN,Music,94,28,39,331474000,82900.0,1300000.0,994400.0,15900000.0,500000,2012,Apr,2.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Total Gaming,35400000,5556364230,Gaming,totalgaming,1,Unknown,Unknown,Autos,4056447,0,3902,53,0.01,0.21,0.16,3.0,2,2006,Jul,15.0,0.0,0,0.0,0,,
Markiplier,35200000,20297931219,Gaming,Markiplier,5490,United States,US,Games,119,34,8,127329000,31800.0,509300.0,382000.0,6100000.0,100000,2012,May,26.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Ryan's World,35200000,55299840198,Entertainment,Ryan's World,2453,United States,US,Entertainment,15,35,32,238613000,59700.0,954500.0,715800.0,11500000.0,200000,2015,Mar,17.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308,Education,Genevieve's Playhouse - Learning Videos for ,617,United States,US,Film,69,36,7,335307000,83800.0,1300000.0,1000000.0,16100000.0,300000,2016,Jan,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
T-Series Apna Punjab,34600000,21306315429,Music,T- Series Apna Punjab,0,Unknown,Unknown,News,4057944,0,4653,0,0.0,0.0,0.0,0.0,0,2020,Jul,9.0,0.0,0,0.0,0,,
Techno Gamerz,34400000,9690499664,Gaming,TechnoGamerz,1,Unknown,Unknown,Games,4057311,0,7489,86,0.02,0.34,0.26,4.0,3,2010,May,19.0,0.0,0,0.0,0,,
Geet MP3,34300000,12746535822,Music,Geet MP3,679,India,IN,Music,299,31,41,101357000,25300.0,405400.0,304100.0,4900000.0,100000,2016,Oct,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
J Balvin,34100000,23005313609,Music,J Balvin,141,Colombia,CO,Music,89,2,42,128696000,32200.0,514800.0,386100.0,6200000.0,100000,2011,Feb,18.0,55.3,50339443,9.71,40827302,4.570868,-74.297333
Jess No Limit,34000000,3963007415,Entertainment,Jess No Limit,2284,Indonesia,ID,Entertainment,1882,1,33,547141000,136800.0,2200000.0,1600000.0,26300000.0,5500000,2017,Sep,7.0,36.3,270203917,4.69,151509724,-0.789275,113.921327
Jingle Toons,34000000,11351015824,Film & Animation,Jingle Toons,240,India,IN,Film,360,32,8,179903000,45000.0,719600.0,539700.0,8600000.0,600000,2013,Jan,24.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
VEGETTA777,33800000,15432929204,Gaming,VEGETTA777,7606,Spain,ES,Games,211,2,10,39094000,9800.0,156400.0,117300.0,1900000.0,0,2008,Mar,2.0,88.9,47076781,13.96,37927409,40.463667,-3.74922
Galinha Pintadinha,33800000,27274550757,Film & Animation,Galinha Pintadinha,66,Brazil,BR,Film,54,8,9,403508000,100900.0,1600000.0,1200000.0,19400000.0,200000,2006,Aug,30.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
SSSniperWolf,33700000,23492684419,Gaming,SSSniperWolf,3366,United States,US,Entertainment,83,37,35,210955000,52700.0,843800.0,632900.0,10100000.0,200000,2013,Jan,20.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Desi Music Factory,33700000,10189027455,Music,Desi music factory,2,Unknown,Unknown,Music,4057699,0,5775,0,0.0,0.0,0.0,0.0,0,2018,Apr,10.0,0.0,0,0.0,0,,
Selena Gomez,33600000,13013567335,Film & Animation,Selena Gomez,188,United States,US,Music,288,38,43,115792000,28900.0,463200.0,347400.0,5600000.0,200000,2008,Feb,8.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Rajshri,33500000,14864294792,Music,Rajshri,3741,India,IN,Entertainment,222,34,36,272255000,68100.0,1100000.0,816800.0,13100000.0,500000,2006,Mar,24.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Ch3Thailand,33500000,29611914495,Entertainment,Ch3Thailand,96214,Thailand,TH,Entertainment,41,3,37,61307000,0.0,0.0,0.0,0.0,100000,2014,May,29.0,49.3,69625582,0.75,35294600,15.870032,100.992541
